_phrase_,type,grammar_symbol,value
"('Jääraku',)",tänav,TÄNAV,whatevs
"('Jüri',)",tänav,TÄNAV,whatevs
"('Jüriöö',)",tänav,TÄNAV,whatevs
"('Johannes', 'Jürna')",tänav,TÄNAV,whatevs
"('Jürna',)",tänav,TÄNAV,whatevs
"('Kaabli',)",tänav,TÄNAV,whatevs
"('Kaali',)",tänav,TÄNAV,whatevs
"('Kaalika',)",tänav,TÄNAV,whatevs
"('Kaalu',)",tänav,TÄNAV,whatevs
"('Kaardiväe',)",tänav,TÄNAV,whatevs
"('Kaare',)",tänav,TÄNAV,whatevs
"('Kaarla',)",tänav,TÄNAV,whatevs
"('Kaarlepere',)",tänav,TÄNAV,whatevs
"('Kaarli',)",tänav,TÄNAV,whatevs
"('Kaarlimäe',)",tänav,TÄNAV,whatevs
"('Kaarna',)",tänav,TÄNAV,whatevs
"('Kaaruti',)",tänav,TÄNAV,whatevs
"('Kaasani',)",tänav,TÄNAV,whatevs
"('Kaasiku',)",tänav,TÄNAV,whatevs
"('Kabala',)",tänav,TÄNAV,whatevs
"('Kabeli',)",tänav,TÄNAV,whatevs
"('Kabli',)",tänav,TÄNAV,whatevs
"('Kadaka',)",tänav,TÄNAV,whatevs
"('Kadakaoru',)",tänav,TÄNAV,whatevs
"('Kadastiku',)",tänav,TÄNAV,whatevs
"('1.', 'Kadastiku')",tänav,TÄNAV,whatevs
"('2.', 'Kadastiku')",tänav,TÄNAV,whatevs
"('3.', 'Kadastiku')",tänav,TÄNAV,whatevs
"('4.', 'Kadastiku')",tänav,TÄNAV,whatevs
"('5.', 'Kadastiku')",tänav,TÄNAV,whatevs
"('6.', 'Kadastiku')",tänav,TÄNAV,whatevs
"('Kadri',)",tänav,TÄNAV,whatevs
"('Kaera',)",tänav,TÄNAV,whatevs
"('Kaeravälja',)",tänav,TÄNAV,whatevs
"('Kaevu',)",tänav,TÄNAV,whatevs
"('Kaevuri',)",tänav,TÄNAV,whatevs
"('Kaevurite',)",tänav,TÄNAV,whatevs
"('Kagu',)",tänav,TÄNAV,whatevs
"('Kahheli',)",tänav,TÄNAV,whatevs
"('Kahlu',)",tänav,TÄNAV,whatevs
"('Kahu',)",tänav,TÄNAV,whatevs
"('Kahva',)",tänav,TÄNAV,whatevs
"('Kai',)",tänav,TÄNAV,whatevs
"('Kaie',)",tänav,TÄNAV,whatevs
"('Kaisla',)",tänav,TÄNAV,whatevs
"('Kaitse',)",tänav,TÄNAV,whatevs
"('Kaja',)",tänav,TÄNAV,whatevs
"('Kajaka',)",tänav,TÄNAV,whatevs
