_phrase_,type,grammar_symbol
"('Arujüri',)",talu,TALU
"('Arukõrtsi', 't')",talu,TALU
"('Arukõrtsi',)",talu,TALU
"('Arukõrtsu', 't')",talu,TALU
"('Arukõrtsu',)",talu,TALU
"('Aruküla', 'ms')",talu,TALU
"('Aruküla',)",talu,TALU
"('Aruküla', 't')",talu,TALU
"('Arula', 'ms')",talu,TALU
"('Arula',)",talu,TALU
"('Arulaane', 't')",talu,TALU
"('Arulaane',)",talu,TALU
"('Arumäe', 'ms')",talu,TALU
"('Arumäe',)",talu,TALU
"('Arumäe', 't')",talu,TALU
"('Arumänniku', 't')",talu,TALU
"('Arumänniku',)",talu,TALU
"('Arumöldre', 't')",talu,TALU
"('Arumöldre',)",talu,TALU
"('Aruniidu', 't')",talu,TALU
"('Aruniidu',)",talu,TALU
"('Arunõmme', 't')",talu,TALU
"('Arunõmme',)",talu,TALU
"('Aruotsa', 't')",talu,TALU
"('Aruotsa',)",talu,TALU
"('Arupere', 't')",talu,TALU
"('Arupere',)",talu,TALU
"('Arusauna', 't')",talu,TALU
"('Arusauna',)",talu,TALU
"('Aruselja', 'krvms')",talu,TALU
"('Aruselja',)",talu,TALU
"('Arusepa', 't')",talu,TALU
"('Arusepa',)",talu,TALU
"('Arussaare', 'ms')",talu,TALU
"('Arussaare',)",talu,TALU
"('Aruste', 'ms')",talu,TALU
"('Aruste',)",talu,TALU
"('Arustemäe', 't')",talu,TALU
"('Arustemäe',)",talu,TALU
"('Aruvahi', 't')",talu,TALU
"('Aruvahi',)",talu,TALU
"('Aruvalla', 'ms')",talu,TALU
"('Aruvalla',)",talu,TALU
"('Aruvälja', 't')",talu,TALU
"('Aruvälja',)",talu,TALU
"('Aseri', 'ms')",talu,TALU
"('Aseri',)",talu,TALU
"('Asmuse', 't')",talu,TALU
"('Asmuse',)",talu,TALU
"('Assaku', 'kõrts')",talu,TALU
"('Assaku',)",talu,TALU
"('Astuvere', 'ms')",talu,TALU
"('Astuvere',)",talu,TALU
"('Asu', 'ms')",talu,TALU
"('Asu',)",talu,TALU
"('Asuküla', 'ms')",talu,TALU
"('Asuküla',)",talu,TALU
"('Asula', 't')",talu,TALU
"('Asula',)",talu,TALU
"('Asunduse', '15', 'maja')",talu,TALU
"('Asunduse', '15')",talu,TALU
"('Asvi', 't')",talu,TALU
"('Asvi',)",talu,TALU
"('Ataste', 'krvms')",talu,TALU
"('Ataste',)",talu,TALU
"('Atla', 'ms')",talu,TALU
"('Atla',)",talu,TALU
"('Atramõisa', 'ms')",talu,TALU
"('Atramõisa',)",talu,TALU
"('Atsalama', 'ms')",talu,TALU
"('Atsalama',)",talu,TALU
"('Atsekõnnu', 'krjms')",talu,TALU
"('Atsekõnnu',)",talu,TALU
"('Atsimäe', 't')",talu,TALU
"('Atsimäe',)",talu,TALU
"('Atu', 't')",talu,TALU
"('Atu',)",talu,TALU
"('Auamäe', 't')",talu,TALU
"('Auamäe',)",talu,TALU
"('Auaste', 'ms')",talu,TALU
"('Auaste',)",talu,TALU
"('Audla', 'ms')",talu,TALU
"('Audla',)",talu,TALU
"('Audla', 't')",talu,TALU
"('Audru', 'krkms')",talu,TALU
