_phrase_,type,grammar_symbol
"('Farmi', 'tee')",tänav,TÄNAV
"('Farmi',)",tänav,TÄNAV
"('Markel', 'Feklistovi', 'väljak')",tänav,TÄNAV
"('Markel', 'Feklistovi')",tänav,TÄNAV
"('Feklistovi',)",tänav,TÄNAV
"('Filmi', 'tn')",tänav,TÄNAV
"('Filmi',)",tänav,TÄNAV
"('Filosoofi', 'tn')",tänav,TÄNAV
"('Filosoofi',)",tänav,TÄNAV
"('Filtri', 'tee')",tänav,TÄNAV
"('Filtri',)",tänav,TÄNAV
"('Forelli', 'tn')",tänav,TÄNAV
"('Forelli',)",tänav,TÄNAV
"('Bengt', 'Gottfried', 'Forseliuse', 'tn')",tänav,TÄNAV
"('Bengt', 'Gottfried', 'Forseliuse')",tänav,TÄNAV
"('Forseliuse',)",tänav,TÄNAV
"('Fortuuna', 'tn')",tänav,TÄNAV
"('Fortuuna',)",tänav,TÄNAV
"('Fosforiidi', 'põik')",tänav,TÄNAV
"('Fosforiidi',)",tänav,TÄNAV
"('Fosforiidi', 'tn')",tänav,TÄNAV
"('Gaasi', 'tn')",tänav,TÄNAV
"('Gaasi',)",tänav,TÄNAV
"('Juri', 'Gagarini', 'tn')",tänav,TÄNAV
"('Juri', 'Gagarini')",tänav,TÄNAV
"('Gagarini',)",tänav,TÄNAV
"('Kosmonaut', 'Gagarini', 'tn')",tänav,TÄNAV
"('Kosmonaut', 'Gagarini')",tänav,TÄNAV
"('Garnisoni', 'tn')",tänav,TÄNAV
"('Garnisoni',)",tänav,TÄNAV
"('Geoloogia', 'tn')",tänav,TÄNAV
"('Geoloogia',)",tänav,TÄNAV
"('Geoloogide', 'tn')",tänav,TÄNAV
"('Geoloogide',)",tänav,TÄNAV
"('Vassili', 'Gerassimovi', 'tn')",tänav,TÄNAV
"('Vassili', 'Gerassimovi')",tänav,TÄNAV
"('Gerassimovi',)",tänav,TÄNAV
"('Gerbera', 'tee')",tänav,TÄNAV
"('Gerbera',)",tänav,TÄNAV
"('Gildi', 'tn')",tänav,TÄNAV
"('Gildi',)",tänav,TÄNAV
"('Nikolai', 'von', 'Glehni', 'põik')",tänav,TÄNAV
"('Nikolai', 'von', 'Glehni')",tänav,TÄNAV
"('Glehni',)",tänav,TÄNAV
"('Nikolai', 'von', 'Glehni', 'tn')",tänav,TÄNAV
"('Nikolai', 'Gogoli', 'tn')",tänav,TÄNAV
"('Nikolai', 'Gogoli')",tänav,TÄNAV
"('Gogoli',)",tänav,TÄNAV
"('Gonsiori', 'tn')",tänav,TÄNAV
"('Gonsiori',)",tänav,TÄNAV
"('Gorbatši',)",tänav,TÄNAV
"('Maksim', 'Gorki', 'tn')",tänav,TÄNAV
"('Maksim', 'Gorki')",tänav,TÄNAV
"('Gorki',)",tänav,TÄNAV
"('Igor', 'Grafovi', 'tn')",tänav,TÄNAV
"('Igor', 'Grafovi')",tänav,TÄNAV
"('Grafovi',)",tänav,TÄNAV
"('Graniidi', 'tn')",tänav,TÄNAV
"('Graniidi',)",tänav,TÄNAV
"('Grigori', 'tn')",tänav,TÄNAV
"('Grigori',)",tänav,TÄNAV
"('Gümnaasiumi', 'tn')",tänav,TÄNAV
"('Gümnaasiumi',)",tänav,TÄNAV
"('Haabersti', 'tn')",tänav,TÄNAV
"('Haabersti',)",tänav,TÄNAV
"('Haanja', 'maantee')",tänav,TÄNAV
"('Haanja',)",tänav,TÄNAV
"('Haapsalu', 'maantee')",tänav,TÄNAV
"('Haapsalu',)",tänav,TÄNAV
"('Haava', 'põik')",tänav,TÄNAV
"('Haava',)",tänav,TÄNAV
"('Haava', 'tee')",tänav,TÄNAV
"('Haava', 'tn')",tänav,TÄNAV
"('Anna', 'Haava', 'tn')",tänav,TÄNAV
"('Anna', 'Haava')",tänav,TÄNAV
"('Paul', 'Haavaoksa', 'tn')",tänav,TÄNAV
"('Paul', 'Haavaoksa')",tänav,TÄNAV
"('Haavaoksa',)",tänav,TÄNAV
"('Haaviku', 'põik')",tänav,TÄNAV
"('Haaviku',)",tänav,TÄNAV
"('Haaviku', 'tee')",tänav,TÄNAV
"('Haaviku', 'tn')",tänav,TÄNAV
"('Hageri', 'tee')",tänav,TÄNAV
"('Hageri',)",tänav,TÄNAV
"('Hagudi', 'tn')",tänav,TÄNAV
"('Hagudi',)",tänav,TÄNAV
"('Adolf', 'Hahni', 'tn')",tänav,TÄNAV
"('Adolf', 'Hahni')",tänav,TÄNAV
"('Hahni',)",tänav,TÄNAV
"('Haiba', 'tee')",tänav,TÄNAV
"('Haiba',)",tänav,TÄNAV
"('Haigla', 'tn')",tänav,TÄNAV
"('Haigla',)",tänav,TÄNAV
"('Haigru', 'tn')",tänav,TÄNAV
"('Haigru',)",tänav,TÄNAV
"('Haimre', 'puiestee')",tänav,TÄNAV
"('Haimre',)",tänav,TÄNAV
"('Haki', 'tn')",tänav,TÄNAV
"('Haki',)",tänav,TÄNAV
"('Haldja', 'tee')",tänav,TÄNAV
"('Haldja',)",tänav,TÄNAV
"('Haldja', 'tn')",tänav,TÄNAV
